POS,AGE,EXP,TEAM,GP,MIN,FGM,FGA,FG_PERCENT,x3PM,x3PA,x3P_PERCENT,FTM,FTA,FT_PERCENT,AST,STL,BLK,TOV,PF,PTS
SG,24,2,MIL,56,614,83,196,0.423,69,169,0.408,17,19,0.895,30,9,4,12,49,252
SG,23,2,DAL,42,311,54,121,0.446,13,50,0.26,15,23,0.652,20,10,3,14,22,136
SF,20,2,ATL,20,171,18,62,0.29,10,39,0.256,2,2,1,5,1,2,8,6,48
PF,28,10,DEN,73,2297,398,716,0.556,40,138,0.29,177,269,0.658,259,56,45,105,142,1013
PG,27,6,HOU,78,1269,186,417,0.446,84,217,0.387,58,63,0.921,140,42,6,53,125,514
SF,24,4,IND,72,1995,315,635,0.496,140,334,0.419,107,137,0.781,108,65,49,64,241,877
SG,25,3,OKC,78,1228,212,377,0.562,62,126,0.492,56,71,0.789,86,56,19,56,91,542
SG,24,1,OKC,2,14,1,7,0.143,1,6,0.167,0,0,NA,4,0,0,0,0,3
PF,21,1,CHI,9,66,14,27,0.519,0,0,NA,8,12,0.667,0,1,0,5,5,36
PF,26,4,ORL,23,84,10,26,0.385,6,16,0.375,0,2,0,7,1,0,5,9,26
C,37,17,BOS,65,1740,214,419,0.511,108,258,0.419,26,30,0.867,168,38,62,48,93,562
SG,32,13,TOT,66,1212,210,569,0.369,124,330,0.376,145,167,0.868,88,28,12,48,75,689
SG,32,13,DET,43,901,160,406,0.394,99,247,0.401,121,134,0.903,68,21,11,32,64,540
SG,32,13,NYK,23,311,50,163,0.307,25,83,0.301,24,33,0.727,20,7,1,16,11,149
PF,22,4,TOT,28,405,49,121,0.405,18,55,0.327,30,41,0.732,35,15,13,19,22,146
PF,22,4,OKC,10,60,4,16,0.25,2,11,0.182,2,4,0.5,5,1,1,3,5,12
PF,22,4,CHO,18,345,45,105,0.429,16,44,0.364,28,37,0.757,30,14,12,16,17,134
SG,29,7,CHI,71,2040,253,541,0.468,136,333,0.408,73,96,0.76,247,120,70,102,181,715
SF,20,1,TOT,6,40,6,15,0.4,1,5,0.2,2,2,1,0,3,0,2,2,15
SF,20,1,LAL,4,14,1,6,0.167,0,2,0,2,2,1,0,0,0,1,1,4
SF,20,1,DAL,2,26,5,9,0.556,1,3,0.333,0,0,NA,0,3,0,1,1,11
C,30,11,SAC,48,444,50,81,0.617,0,3,0,20,34,0.588,50,11,33,27,66,120
SG,24,2,MIA,7,16,2,8,0.25,0,4,0,1,1,1,0,0,1,2,2,5
C,21,3,HOU,63,2046,527,982,0.537,33,111,0.297,244,352,0.693,312,76,46,162,211,1331
PG,19,1,CHO,10,65,8,24,0.333,1,8,0.125,6,7,0.857,7,3,0,4,2,23
SF,21,1,HOU,62,1388,239,446,0.536,8,58,0.138,106,155,0.684,163,78,38,90,141,592
SF,26,5,LAC,70,1460,166,352,0.472,70,184,0.38,61,71,0.859,76,41,14,33,102,463
C,30,12,CHI,79,1351,267,480,0.556,0,3,0,129,218,0.592,37,73,48,81,140,663
SG,22,1,MIL,57,572,50,100,0.5,17,46,0.37,8,11,0.727,50,16,6,28,92,125
SG,24,1,CHI,5,13,0,4,0,0,3,0,0,0,NA,0,1,1,0,0,0
PG,24,2,IND,68,1697,260,522,0.498,61,171,0.357,45,56,0.804,280,63,6,101,143,626
SF,28,10,GSW,71,1920,353,780,0.453,91,254,0.358,142,189,0.751,119,42,41,87,147,939
SG,24,6,POR,46,1582,360,837,0.43,156,405,0.385,163,178,0.916,255,23,5,126,98,1039
PG,20,1,ORL,69,1164,115,247,0.466,37,94,0.394,49,80,0.613,91,35,21,56,110,316
C,30,12,LAL,76,2700,713,1283,0.556,29,107,0.271,421,516,0.816,266,91,178,159,177,1876
SG,22,4,MIN,79,2770,718,1558,0.461,190,532,0.357,423,506,0.836,405,101,42,241,141,2049
PF,31,4,WAS,50,466,75,160,0.469,10,41,0.244,29,36,0.806,34,13,11,23,48,189
PG,25,3,BRK,10,104,15,46,0.326,11,32,0.344,1,2,0.5,5,1,1,3,3,42
PG,24,2,POR,19,316,29,71,0.408,8,25,0.32,14,17,0.824,54,11,9,30,40,80
SF,21,1,DET,63,1583,232,480,0.483,21,113,0.186,71,119,0.597,120,68,59,84,175,556
SG,25,3,LAL,82,2629,457,940,0.486,154,420,0.367,232,272,0.853,450,66,25,174,153,1300
SG,24,3,CHI,76,2212,360,719,0.501,119,295,0.403,85,105,0.81,242,68,36,103,166,924
C,26,7,MIA,71,2416,530,1017,0.521,15,42,0.357,292,387,0.755,278,81,66,162,159,1367
SG,22,1,IND,57,814,90,229,0.393,49,156,0.314,23,26,0.885,53,33,2,15,88,252
PG,27,6,BRK,15,359,43,74,0.581,0,0,NA,6,15,0.4,86,12,9,27,36,92
SF,21,2,IND,59,1538,296,663,0.446,80,214,0.374,184,224,0.821,119,35,14,97,117,856
SF,19,1,WAS,63,1715,188,432,0.435,64,185,0.346,92,131,0.702,110,57,48,87,137,532
C,31,13,TOT,40,791,74,131,0.565,0,0,NA,26,54,0.481,53,11,37,42,89,174
C,31,13,MEM,30,718,67,119,0.563,0,0,NA,22,46,0.478,51,10,34,38,82,156
C,31,13,OKC,10,73,7,12,0.583,0,0,NA,4,8,0.5,2,1,3,4,7,18
SG,20,2,SAS,61,876,102,215,0.474,12,55,0.218,52,78,0.667,166,29,9,55,89,268
C,35,9,HOU,14,71,18,34,0.529,0,2,0,9,14,0.643,6,1,2,5,5,45
PF,28,9,MIL,82,2008,466,918,0.508,100,246,0.407,98,124,0.79,104,68,34,91,189,1130
SG,31,7,ATL,79,2401,471,1100,0.428,240,641,0.374,151,164,0.921,247,96,26,112,179,1333
PF,34,10,TOT,57,1478,309,681,0.454,133,334,0.398,117,149,0.785,97,30,5,101,95,868
PF,34,10,DET,28,921,199,425,0.468,86,207,0.415,81,104,0.779,71,23,4,63,57,565
SF,34,10,NYK,29,557,110,256,0.43,47,127,0.37,36,45,0.8,26,7,1,38,38,303
PF,24,5,PHO,43,469,93,151,0.616,22,52,0.423,15,19,0.789,17,10,25,19,42,223
PG,23,3,LAC,37,540,97,251,0.386,44,135,0.326,18,23,0.783,93,26,4,44,51,256
SG,30,12,PHO,53,1767,377,735,0.513,101,235,0.43,109,134,0.813,265,52,27,131,127,964
SG,20,1,GSW,74,1968,271,597,0.454,90,234,0.385,50,79,0.633,273,61,14,88,122,682
SF,22,3,LAC,32,345,65,161,0.404,14,52,0.269,23,33,0.697,13,11,8,24,40,167
PF,27,5,MEM,6,134,33,59,0.559,1,6,0.167,1,7,0.143,9,5,6,3,8,68
SF,26,8,NOP,64,2103,500,1017,0.492,86,242,0.355,246,307,0.801,363,50,40,163,145,1332
SF,21,1,CHO,74,2383,476,1083,0.44,184,493,0.373,143,173,0.827,175,66,42,132,184,1279
PG,24,2,DAL,17,113,20,54,0.37,3,15,0.2,11,17,0.647,17,1,1,7,4,54
SF,26,3,DEN,20,60,7,17,0.412,2,5,0.4,6,8,0.75,9,2,1,1,5,22
SF,20,1,UTA,32,584,85,218,0.39,34,115,0.296,37,41,0.902,55,13,6,47,43,241
C,35,16,MIL,79,2411,366,755,0.485,148,404,0.366,110,134,0.821,127,43,189,79,191,990
SG,27,6,TOT,67,1866,278,582,0.478,53,164,0.323,117,142,0.824,192,59,17,86,148,726
SG,27,6,IND,33,981,149,314,0.475,33,101,0.327,67,82,0.817,100,35,8,41,81,398
PG,27,6,TOR,34,885,129,268,0.481,20,63,0.317,50,60,0.833,92,24,9,45,67,328
C,25,5,ATL,45,682,109,187,0.583,0,4,0,64,96,0.667,46,25,28,44,107,282
SG,21,2,CHO,59,882,101,230,0.439,34,102,0.333,66,85,0.776,51,21,10,30,74,302
SF,24,2,DET,10,84,9,29,0.31,8,25,0.32,8,10,0.8,3,0,1,0,5,34
SF,31,8,TOT,84,2160,371,850,0.436,219,568,0.386,52,59,0.881,236,70,42,103,169,1013
SF,31,8,IND,52,1336,229,517,0.443,137,357,0.384,28,33,0.848,139,43,31,62,103,623
SG,31,8,PHI,32,824,142,333,0.426,82,211,0.389,24,26,0.923,97,27,11,41,66,390
PG,32,11,NOP,66,2159,484,1055,0.459,239,557,0.429,115,139,0.827,305,62,41,110,126,1322
PG,22,3,DET,62,2074,524,1167,0.449,119,335,0.355,238,274,0.869,464,56,22,212,153,1405
SF,21,2,ORL,59,815,80,206,0.388,72,193,0.373,21,26,0.808,29,15,4,16,61,253
SF,28,5,MIA,64,1756,241,559,0.431,81,232,0.349,77,99,0.778,143,47,29,77,126,640
SF,24,5,LAL,48,984,91,234,0.389,37,110,0.336,41,54,0.759,48,47,14,31,64,260
SG,22,3,BRK,66,2075,526,1190,0.442,144,396,0.364,286,334,0.856,192,45,16,124,138,1482
SF,19,1,HOU,47,880,212,467,0.454,79,220,0.359,76,112,0.679,33,30,17,46,64,579
PF,27,5,BRK,58,1599,276,619,0.446,138,353,0.391,86,109,0.789,138,49,15,57,105,776
PG,29,9,TOT,78,1304,208,481,0.432,104,267,0.39,58,67,0.866,205,42,11,66,126,578
PG,29,9,MIL,47,702,101,222,0.455,52,131,0.397,37,44,0.841,109,22,3,31,73,291
PG,29,9,PHI,31,602,107,259,0.413,52,136,0.382,21,23,0.913,96,20,8,35,53,287
SG,29,8,CLE,68,1958,345,820,0.421,108,332,0.325,154,201,0.766,346,76,34,117,121,952
SG,20,1,OKC,82,1692,217,442,0.491,98,234,0.419,29,37,0.784,120,76,37,45,129,561
SF,28,7,SAS,72,1269,184,384,0.479,86,221,0.389,35,52,0.673,119,36,11,47,107,489
C,23,3,SAS,19,205,29,40,0.725,0,1,0,5,6,0.833,21,8,17,15,31,63
SG,26,4,NYK,8,37,2,10,0.2,2,7,0.286,0,0,NA,0,0,2,2,5,6
C,21,1,OKC,82,2413,505,953,0.53,129,349,0.37,218,275,0.793,200,53,190,131,197,1357
C,26,6,TOT,51,859,123,244,0.504,28,94,0.298,58,64,0.906,46,43,16,52,71,332
C,26,6,PHO,37,448,66,130,0.508,15,51,0.294,38,43,0.884,19,19,9,27,39,185
C,26,6,DET,14,411,57,114,0.5,13,43,0.302,20,21,0.952,27,24,7,25,32,147
PF,31,7,TOR,50,705,110,217,0.507,31,94,0.33,71,92,0.772,23,14,24,28,68,322
SF,26,3,SAC,59,719,80,210,0.381,44,127,0.346,26,33,0.788,44,28,8,26,80,230
SF,20,1,MIL,21,90,11,22,0.5,1,5,0.2,3,4,0.75,5,2,0,5,15,26
PG,38,19,GSW,58,1531,206,467,0.441,78,210,0.371,43,52,0.827,393,70,6,76,108,533
SG,22,2,DEN,82,1655,222,483,0.46,63,164,0.384,93,134,0.694,132,42,35,55,137,600
PF,28,8,LAL,50,872,123,264,0.466,35,114,0.307,66,94,0.702,49,16,33,50,72,347
SF,25,4,ORL,47,432,40,112,0.357,23,82,0.28,4,7,0.571,20,9,7,16,19,107
C,29,10,ATL,73,1883,353,618,0.571,0,1,0,130,206,0.631,91,43,106,74,164,836
PG,23,5,CHI,79,2881,541,1209,0.447,209,556,0.376,218,260,0.838,405,53,18,166,186,1509
SF,28,5,CHO,28,753,82,215,0.381,27,86,0.314,20,33,0.606,104,32,18,44,48,211
C,31,11,NOP,43,320,26,62,0.419,1,3,0.333,23,38,0.605,39,9,5,16,45,76
SG,21,1,SAC,30,192,28,71,0.394,2,22,0.091,6,11,0.545,20,7,5,10,29,64
PG,23,4,ORL,81,1817,332,763,0.435,93,275,0.338,180,218,0.826,236,64,37,126,175,937
SF,24,2,MIA,18,87,15,38,0.395,10,30,0.333,2,2,1,5,1,1,8,4,42
C,23,1,LAL,16,59,9,16,0.563,0,0,NA,6,6,1,3,2,0,3,11,24
PG,24,1,DEN,24,225,32,69,0.464,15,38,0.395,8,12,0.667,27,13,0,14,24,87
SG,25,6,UTA,78,2075,506,1038,0.487,128,325,0.394,318,370,0.859,383,62,18,165,154,1458
SF,24,3,WAS,80,2067,386,794,0.486,184,480,0.383,114,157,0.726,156,41,16,98,141,1070
PG,32,13,GSW,26,296,23,64,0.359,13,42,0.31,4,7,0.571,42,4,3,12,25,63
PG,23,1,CLE,51,649,116,228,0.509,12,34,0.353,41,56,0.732,118,21,15,45,40,285
PG,27,9,LAL,76,2484,492,1080,0.456,226,545,0.415,159,192,0.828,482,69,36,156,156,1369
SG,25,1,LAL,7,41,5,15,0.333,3,12,0.25,1,2,0.5,5,1,1,1,4,14
SG,23,1,TOR,4,36,3,8,0.375,1,4,0.25,4,5,0.8,3,1,0,1,3,11
PF,27,6,PHI,2,15,4,6,0.667,2,2,1,0,0,NA,2,0,2,0,1,10
SG,26,4,NYK,17,46,6,17,0.353,2,10,0.2,0,2,0,5,0,1,3,2,14
PG,21,3,MIN,15,50,9,24,0.375,6,17,0.353,3,6,0.5,6,5,0,5,2,27
PG,24,3,TOT,54,1047,202,500,0.404,59,199,0.296,94,120,0.783,127,33,20,77,64,557
PG,24,3,BOS,24,171,19,51,0.373,2,16,0.125,16,20,0.8,19,5,3,10,20,56
PG,24,3,POR,30,876,183,449,0.408,57,183,0.311,78,100,0.78,108,28,17,67,44,501
SG,21,2,CHI,59,681,69,157,0.439,17,74,0.23,25,43,0.581,81,27,18,32,81,180
C,28,8,CLE,39,270,43,72,0.597,3,14,0.214,18,21,0.857,15,7,13,13,27,107
PG,33,12,MIL,73,2579,541,1277,0.424,220,622,0.354,473,514,0.92,508,72,18,193,134,1775
PF,25,5,TOT,74,1815,348,480,0.725,0,0,NA,118,175,0.674,115,65,153,74,227,814
C,25,5,WAS,45,1192,203,294,0.69,0,0,NA,84,119,0.706,69,44,97,46,147,490
PF,25,5,DAL,29,623,145,186,0.78,0,0,NA,34,56,0.607,46,21,56,28,80,324
C,31,7,TOT,60,1015,156,293,0.532,26,71,0.366,38,50,0.76,61,21,51,42,127,376
C,31,7,IND,1,8,1,4,0.25,0,1,0,0,0,NA,0,0,0,0,1,2
C,31,7,LAC,59,1007,155,289,0.536,26,70,0.371,38,50,0.76,61,21,51,42,126,374
SF,35,14,TOT,49,630,83,190,0.437,30,93,0.323,84,98,0.857,55,14,6,23,50,280
PF,35,14,WAS,26,385,57,131,0.435,20,64,0.313,47,56,0.839,31,6,3,12,26,181
SF,35,14,DET,6,90,12,22,0.545,7,12,0.583,21,24,0.875,12,2,2,1,9,52
SF,35,14,MIL,17,155,14,37,0.378,3,17,0.176,16,18,0.889,12,6,1,10,15,47
